,Date,FB,TWTR,NFLX
510,2015-11-17,105.129997,25.23,117.099998
511,2015-11-18,107.769997,25.9,120.629997
512,2015-11-19,106.260002,26.32,120.220001
513,2015-11-20,107.32,26.27,123.839996
514,2015-11-23,106.949997,25.200001,125.029999
515,2015-11-24,105.739998,25.52,123.309998
516,2015-11-25,105.410004,26.059999,124.160004
517,2015-11-27,105.449997,25.75,125.440002
518,2015-11-30,104.239998,25.4,123.330002
519,2015-12-01,107.120003,25.530001,125.370003
520,2015-12-02,106.07,25.4,128.929993
521,2015-12-03,104.379997,25.9,126.809998
522,2015-12-04,106.18,25.02,130.929993
523,2015-12-07,105.610001,24.459999,125.360001
524,2015-12-08,106.489998,24.99,126.980003
525,2015-12-09,104.599998,24.309999,124.199997
526,2015-12-10,105.419998,25.91,122.910004
527,2015-12-11,102.120003,24.84,118.910004
528,2015-12-14,104.660004,24.92,120.669998
529,2015-12-15,104.550003,23.950001,118.599998
530,2015-12-16,106.790001,24.299999,122.639999
531,2015-12-17,106.220001,23.309999,122.510002
532,2015-12-18,104.040001,22.99,118.019997
533,2015-12-21,104.769997,22.139999,116.629997
534,2015-12-22,105.510002,22.559999,116.239998
535,2015-12-23,104.629997,22.67,118.160004
536,2015-12-24,105.019997,22.969999,117.330002
537,2015-12-28,105.93,22.530001,117.110001
538,2015-12-29,107.260002,22.469999,119.120003
539,2015-12-30,106.220001,22.23,116.709999
540,2015-12-31,104.660004,23.139999,114.379997
541,2016-01-04,102.220001,22.559999,109.959999
542,2016-01-05,102.730003,21.92,107.660004
543,2016-01-06,102.970001,21.389999,117.68
544,2016-01-07,97.919998,20.26,114.559998
545,2016-01-08,97.330002,19.98,111.389999
546,2016-01-11,97.510002,19.65,114.970001
547,2016-01-12,99.370003,19.620001,116.580002
548,2016-01-13,95.440002,18.68,106.559998
549,2016-01-14,98.370003,19.0,107.059998
550,2016-01-15,94.970001,17.940001000000006,104.040001
551,2016-01-19,95.260002,16.690001000000002,107.889999
552,2016-01-20,94.349998,17.379998999999998,107.739998
553,2016-01-21,94.160004,17.83,102.349998
554,2016-01-22,97.940002,17.84,100.720001
555,2016-01-25,97.010002,17.02,99.120003
556,2016-01-26,97.339996,17.01,97.830002
557,2016-01-27,94.449997,16.780001000000002,91.150002
558,2016-01-28,109.110001,16.49,94.410004
559,2016-01-29,112.209999,16.799999,91.839996
560,2016-02-01,115.089996,17.91,94.089996
561,2016-02-02,114.610001,16.08,91.489998
562,2016-02-03,112.690002,16.559998999999998,90.739998
563,2016-02-04,110.489998,16.91,89.709999
564,2016-02-05,104.07,15.72,82.790001
565,2016-02-08,99.75,14.9,83.32
566,2016-02-09,99.540001,14.4,86.129997
567,2016-02-10,101.0,14.98,88.449997
568,2016-02-11,101.910004,14.31,86.349998
569,2016-02-12,102.010002,15.88,87.400002
570,2016-02-16,101.610001,16.360001,89.050003
571,2016-02-17,105.199997,17.459999,94.760002
572,2016-02-18,103.470001,18.43,90.489998
573,2016-02-19,104.57,18.309999,89.230003
574,2016-02-22,107.160004,18.299999,91.93
575,2016-02-23,105.459999,18.299999,89.120003
576,2016-02-24,106.879997,18.0,91.610001
577,2016-02-25,108.07,17.59,94.529999
578,2016-02-26,107.919998,17.940001000000006,94.790001
579,2016-02-29,106.919998,18.120001,93.410004
580,2016-03-01,109.82,17.85,98.300003
581,2016-03-02,109.949997,18.540001,97.610001
582,2016-03-03,109.580002,19.309999,97.93
583,2016-03-04,108.389999,19.360001,101.580002
584,2016-03-07,105.730003,19.17,95.489998
585,2016-03-08,105.93,18.33,96.230003
586,2016-03-09,107.510002,17.66,98.0
587,2016-03-10,107.32,16.610001,97.360001
588,2016-03-11,109.410004,16.809998999999998,97.660004
589,2016-03-14,109.889999,17.120001000000002,98.129997
590,2016-03-15,110.669998,16.190001000000002,97.860001
591,2016-03-16,112.18,16.700001,99.349998
592,2016-03-17,111.019997,16.85,99.720001
593,2016-03-18,111.449997,16.85,101.120003
594,2016-03-21,111.849998,16.889999,101.059998
595,2016-03-22,112.25,16.860001,99.839996
596,2016-03-23,112.540001,16.01,99.589996
597,2016-03-24,113.050003,15.91,98.360001
598,2016-03-28,113.690002,15.6,101.209999
599,2016-03-29,116.139999,15.97,104.129997
600,2016-03-30,114.699997,16.360001,102.190002
601,2016-03-31,114.099998,16.549999,102.230003
602,2016-04-01,116.059998,15.98,105.699997
603,2016-04-04,112.550003,17.09,104.349998
604,2016-04-05,112.220001,17.049999,104.940002
605,2016-04-06,113.709999,17.26,104.830002
606,2016-04-07,113.639999,16.98,104.449997
607,2016-04-08,110.629997,16.65,103.809998
608,2016-04-11,108.989998,16.51,102.68
609,2016-04-12,110.610001,16.57,106.980003
610,2016-04-13,110.510002,17.370001000000002,109.650002
611,2016-04-14,110.839996,17.530001000000002,110.419998
612,2016-04-15,109.639999,17.58,111.510002
613,2016-04-18,110.449997,17.309998999999998,108.400002
614,2016-04-19,112.290001,16.92,94.339996
615,2016-04-20,112.419998,17.4,96.769997
616,2016-04-21,113.440002,17.51,94.980003
617,2016-04-22,110.559998,17.23,95.900002
618,2016-04-25,110.099998,17.09,93.559998
619,2016-04-26,108.760002,17.75,92.43
620,2016-04-27,108.889999,14.86,91.040001
621,2016-04-28,116.730003,14.64,90.279999
622,2016-04-29,117.580002,14.62,90.029999
623,2016-05-02,118.57,14.4,93.110001
624,2016-05-03,117.43,14.01,91.540001
625,2016-05-04,118.059998,14.84,90.790001
626,2016-05-05,117.809998,14.12,89.370003
627,2016-05-06,119.489998,14.4,90.839996
628,2016-05-09,119.239998,14.2,90.540001
629,2016-05-10,120.5,14.63,92.889999
630,2016-05-11,119.519997,14.59,90.019997
631,2016-05-12,120.279999,14.08,87.739998
632,2016-05-13,119.809998,14.1,87.879997
633,2016-05-16,118.669998,14.29,89.120003
634,2016-05-17,117.349998,14.34,88.629997
635,2016-05-18,117.650002,14.14,90.5
636,2016-05-19,116.809998,14.15,89.550003
637,2016-05-20,117.349998,14.43,92.489998
638,2016-05-23,115.970001,14.41,94.889999
639,2016-05-24,117.699997,14.03,97.889999
640,2016-05-25,117.889999,14.41,100.199997
641,2016-05-26,119.470001,14.3,102.809998
642,2016-05-27,119.379997,15.1,103.300003
643,2016-05-31,118.809998,15.22,102.57
644,2016-06-01,118.779999,15.02,101.510002
645,2016-06-02,118.93,15.2,101.25
646,2016-06-03,118.470001,15.2,99.589996
647,2016-06-06,118.790001,15.27,100.739998
648,2016-06-07,117.760002,15.0,99.889999
649,2016-06-08,118.389999,14.95,97.860001
650,2016-06-09,118.559998,14.6,97.089996
651,2016-06-10,116.620003,14.02,93.75
652,2016-06-13,113.949997,14.55,93.849998
653,2016-06-14,114.940002,15.36,94.120003
654,2016-06-15,114.599998,15.96,94.290001
655,2016-06-16,114.389999,15.87,95.440002
656,2016-06-17,113.019997,16.1,94.449997
657,2016-06-20,113.370003,16.34,93.800003
658,2016-06-21,114.379997,16.32,90.989998
659,2016-06-22,113.910004,16.129998999999998,90.010002
660,2016-06-23,115.080002,17.040001,91.660004
661,2016-06-24,112.080002,16.440001000000002,88.440002
662,2016-06-27,108.970001,15.84,85.33000200000002
663,2016-06-28,112.699997,16.42,87.970001
664,2016-06-29,114.160004,16.83,91.059998
665,2016-06-30,114.279999,16.91,91.480003
666,2016-07-01,114.190002,17.280001000000002,96.669998
667,2016-07-05,114.199997,17.139999,97.910004
668,2016-07-06,116.699997,17.200001,94.599998
669,2016-07-07,115.849998,17.370001000000002,95.099998
670,2016-07-08,117.239998,18.08,97.059998
671,2016-07-11,117.870003,17.709999,94.669998
672,2016-07-12,117.93,18.1,95.970001
673,2016-07-13,116.779999,17.74,96.43
674,2016-07-14,117.290001,17.959999,98.019997
675,2016-07-15,116.860001,18.08,98.389999
676,2016-07-18,119.370003,18.65,98.809998
677,2016-07-19,120.610001,18.33,85.839996
678,2016-07-20,121.919998,18.559999,87.910004
679,2016-07-21,120.610001,18.389999,85.989998
680,2016-07-22,121.0,18.370001,85.889999
681,2016-07-25,121.629997,18.65,87.660004
682,2016-07-26,121.220001,18.450001,91.410004
683,2016-07-27,123.339996,15.77,92.040001
684,2016-07-28,125.0,16.309998999999998,91.650002
685,2016-07-29,123.940002,16.639999,91.25
686,2016-08-01,124.309998,16.639999,94.370003
687,2016-08-02,123.089996,16.42,93.559998
688,2016-08-03,122.510002,17.610001,93.099998
689,2016-08-04,124.360001,18.129999,93.440002
690,2016-08-05,125.150002,18.26,97.029999
691,2016-08-08,125.260002,18.200001,95.110001
692,2016-08-09,125.059998,18.68,93.989998
693,2016-08-10,124.879997,19.040001,93.93
694,2016-08-11,124.900002,19.780001,95.889999
695,2016-08-12,124.879997,19.540001,96.589996
696,2016-08-15,123.900002,20.860001,95.309998
697,2016-08-16,123.300003,20.4,95.120003
698,2016-08-17,124.370003,20.17,96.370003
699,2016-08-18,123.910004,19.0,96.160004
700,2016-08-19,123.559998,18.98,95.870003
701,2016-08-22,124.150002,18.549999,95.260002
702,2016-08-23,124.370003,18.690001,95.940002
703,2016-08-24,123.480003,18.25,95.18
704,2016-08-25,123.889999,18.32,97.32
705,2016-08-26,124.959999,18.299999,97.580002
706,2016-08-29,126.540001,18.469999,97.300003
707,2016-08-30,125.839996,18.379999,97.449997
708,2016-08-31,126.120003,19.209999,97.449997
709,2016-09-01,126.169998,19.5,97.379997
710,2016-09-02,126.510002,19.549999,97.379997
711,2016-09-06,129.729996,19.93,100.089996
712,2016-09-07,131.050003,19.870001,99.150002
713,2016-09-08,130.270004,18.700001,99.660004
714,2016-09-09,127.099998,18.110001,96.5
715,2016-09-12,128.690002,18.15,99.050003
716,2016-09-13,127.209999,17.76,96.089996
717,2016-09-14,127.769997,18.08,97.010002
718,2016-09-15,128.350006,18.299999,97.339996
719,2016-09-16,129.070007,19.110001,99.480003
720,2016-09-19,128.649994,18.360001,98.059998
721,2016-09-20,128.639999,18.389999,98.25
722,2016-09-21,129.940002,18.49,94.879997
723,2016-09-22,130.080002,18.629999,95.830002
724,2016-09-23,127.959999,22.620001,95.940002
725,2016-09-26,127.309998,23.370001,94.559998
726,2016-09-27,128.690002,23.719999,97.07
727,2016-09-28,129.229996,22.959999,97.480003
728,2016-09-29,128.089996,23.01,96.669998
729,2016-09-30,128.270004,23.049999,98.550003
730,2016-10-03,128.770004,24.0,102.629997
731,2016-10-04,128.190002,23.52,102.339996
732,2016-10-05,128.470001,24.870001,106.279999
733,2016-10-06,128.740005,19.870001,105.07
734,2016-10-07,128.990005,19.85,104.82
735,2016-10-10,130.240005,17.559998999999998,103.330002
736,2016-10-11,128.880005,18.0,100.589996
737,2016-10-12,129.050003,18.049999,99.5
738,2016-10-13,127.82,17.790001,100.230003
739,2016-10-14,127.879997,16.879998999999998,101.470001
740,2016-10-17,127.540001,16.73,99.800003
741,2016-10-18,128.570007,16.83,118.790001
742,2016-10-19,130.110001,17.07,121.870003
743,2016-10-20,130.0,16.9,123.349998
744,2016-10-21,132.070007,18.09,127.5
745,2016-10-24,133.279999,18.030001,127.330002
746,2016-10-25,132.28999299999998,17.26,126.510002
747,2016-10-26,131.03999299999998,17.290001,126.970001
748,2016-10-27,129.690002,17.4,126.470001
749,2016-10-28,131.28999299999998,17.66,126.57
750,2016-10-31,130.990005,17.950001,124.870003
751,2016-11-01,129.5,17.49,123.300003
752,2016-11-02,127.169998,17.610001,122.339996
753,2016-11-03,120.0,17.58,122.139999
754,2016-11-04,120.75,18.02,122.029999
755,2016-11-07,122.150002,18.41,124.580002
756,2016-11-08,124.220001,18.379999,124.339996
757,2016-11-09,123.18,19.129999,122.190002
758,2016-11-10,120.800003,18.370001,115.419998
759,2016-11-11,119.019997,18.549999,114.779999
760,2016-11-14,115.080002,19.139999,113.379997
761,2016-11-15,117.199997,18.98,113.589996
762,2016-11-16,116.339996,18.629999,115.190002
763,2016-11-17,117.790001,18.549999,115.029999
764,2016-11-18,117.019997,18.73,115.209999
